title,content,vote,comment
 결제 , 핸드폰분실하고 신용카드 없는데 체크카드만 있는데 체크카드로 pc에서 결제할 수 있어??.. , 0 , 4 
 기업 인적성 검사 , 거의 아이큐테스트 같은 느낌이던데 연습하면 늘어? ㅜ 사람인에서 제공하는 간이테스트 해봤는데 수리점수가 처참하다.. , 0 , 0 
 아니 쁠몰 뜻 혼란 슈방방 , 쁠몰이 '쁠'러스로 '몰'아준다는게 아니라 '쁠'러스를 주는지 '몰'르는 교수님들거 였어...? 2학기 꿀강으로 채울라고 쁠몰만 찾고 있다가 혼 , 0 , 7 
 아까 무슨 데이트어플 캡쳐 올리면서 , 자괴감든다고 한 사람 내가 댓글에 광고? 이랬더니 바로 글 삭제했네 에타까지 와서 광고하고싶냐 , 1 , 7 
 민식이랑 인국공 보면서 답나왔다 , 일단 대통령 앞에서 즙짜면 뭔가 나옴 ㄹㅇ 인권문제인 군대는 즙짤 사람 없어서 해결이 안 되는건가? 일단 대통령의 동의를 얻으면 문천지 교인들이 , 6 , 5 
 계절 영토세 듣는 사람? , ㅈㄱㄴ영토세 듣는 친구 있어? , 0 , 10 
 김나연교수님 회계 , 들어본 사람들아! 책 사야겠지....? , 0 , 3 
 감동)) 이명박 대통령 6.25 연설문 ," 존경하는 국민 여러분,  국군과 UN군 참전용사 여러분,  그리고 이 자리에 함께 해 주신 내외 귀빈 여러분! 오늘 6.25전쟁 60주년을 맞아 ", 11 , 5 
 죠르디 , 조~오 지나 , 0 , 2 
 ㄱㄱㅇ 일반심리학 , 그 기억심리학 파트 시험문제 중에 처음과 끝을 기억한다 / 중간부분에 집중한다 / 등등 있었잖아.. 나는 후자 선택했는데 정답이 뭐야??  이거 , 0 , 3 
 정치학개론 ㅈㅇㅎ , 난 에이쁠 받았는데 여러분은 뭐 받음? 뿌리신건가 아니면 내가 잘 받은건가 궁금해서 , 0 , 13 
 ㅇㅈㅈ 교수님 재무관리 성적 떴는데 다들 , 뭐 받았음? 에이 몇 퍼 주신곤가 궁금하네 , 0 , 8 
 개콘 어제가 막방이었네ㅋㅋㅋ , 종영한 것도 몰랐네ㄷㄷㄷ , 1 , 3 
 부러진 펜운동 참여하자 ," 인국공 사태에 대한 여권 반응))  청와대 ""청년들이 예민해서 그렇다"" 이해찬 민주당 대표 ""사소한 일로 국민들 혼란 주지 말고 자중할 것을 권 ", 25 , 4 
 집 앞 화단에 다친 참새 , 못 날고 좀 느리게 움직이는 거 보니까  다친 거 같은데 먹을 거 마실 거 줘도 무서워서 엄청 숨어...  같은 위치에서 눈만 깜박깜박해...  , 1 , 4 
 강아지 키우는 사람만 vs 놀이 , 너희집 강아지 한마리 vs 모르는사람 500명 둘중 하나가 죽을 위기에 놓여있고 한팀만 구할 수 있음. 누구구할꺼? 난 당연히 전자 , 0 , 6 
" 사조방 A+받았는데, 다들 뭐 받았니 ", 사조방 A+ 뿌리신건가 아니면 노력의 결과인가 궁금하구려 허허 , 0 , 3 
 울학교 사회학과 최고 아웃풋 누구야? , 가까운 미래에 내가 된다 J관에 내가 강연하면 학우들 우루루 몰려올거다 , 1 , 8 
 우리 학교 철학 유명한 편임? , 고딩 때 쌤이 서강대 철학 좋은 편이라고 철학과 중에서 유명하댔는데 ㄹㅇ임? , 0 , 6 
 RTS한사람좋아요 , 나 2번햇다 , 16 , 14 
 넷플릭스 , 꼽싸리 껴줄사람없엉?ㅠㅠㅠ , 0 , 1 
 졸업할 때 졸업학점 126을 초가하면 남은 학점으로 학점포기 가능? , 졸업할 때 졸업학점 126을 초가하면 남은 학점으로 학점포기 가능? , 0 , 2 
 나 키 좀 고평가받는데 , 그니까 실제로 173인데 174~5같아 보인대 다들 반대보다 낫나? , 0 , 20 
 ㅇㅎㅅ 생환 , 오늘까지 학점 알려주신다 하시지 않았어? , 0 , 14 
